nutrition,value,measure,food_product
MUFA 20:1,0.0,G,asparagus
MUFA 22:1,0.0,G,asparagus
"Fatty acids, total monounsaturated",0.0,G,asparagus
"Fatty acids, total polyunsaturated",0.05,G,asparagus
SFA 15:0,0.0,G,asparagus
"PUFA 20:2 n-6 c,c",0.0,G,asparagus
PUFA 20:3,0.0,G,asparagus
"Choline, total",16.0,MG,asparagus
"Alcohol, ethyl",0.0,G,asparagus
Retinol,0.0,UG,asparagus
"Fatty acids, total trans",0.0,G,asparagus
"Sodium, Na",2.0,MG,asparagus
Cholesterol,0.0,MG,asparagus
Phytosterols,24.0,MG,asparagus
Vitamin B-12,0.0,UG,asparagus
"Carbohydrate, by difference",3.88,G,asparagus
Energy,85.0,kJ,asparagus
"Folate, DFE",52.0,UG,asparagus
"Vitamin A, RAE",38.0,UG,asparagus
"Vitamin A, IU",756,IU,asparagus
"Vitamin B-12, added",0.0,UG,asparagus
"Vitamin E, added",0.0,MG,asparagus
Vitamin D (D2 + D3),0.0,UG,asparagus
"Selenium, Se",2.3,UG,asparagus
"Cryptoxanthin, beta",0.0,UG,asparagus
Lycopene,0.0,UG,asparagus
"Carotene, beta",449,UG,asparagus
"Carotene, alpha",9.0,UG,asparagus
"Copper, Cu",0.189,MG,asparagus
"Manganese, Mn",0.158,MG,asparagus
Galactose,0.0,G,asparagus
"Fiber, total dietary",2.1,G,asparagus
"Iron, Fe",2.14,MG,asparagus
"Magnesium, Mg",14.0,MG,asparagus
"Phosphorus, P",52.0,MG,asparagus
Ash,0.58,G,asparagus
Fructose,1.0,G,asparagus
Lactose,0.0,G,asparagus
Vitamin K (Dihydrophylloquinone),0.0,UG,asparagus
Vitamin K (phylloquinone),41.6,UG,asparagus
Thiamin,0.143,MG,asparagus
Riboflavin,0.141,MG,asparagus
Total lipid (fat),0.12,G,asparagus
"Calcium, Ca",24.0,MG,asparagus
"Potassium, K",202,MG,asparagus
"Zinc, Zn",0.54,MG,asparagus
Sucrose,0.23,G,asparagus
Glucose,0.65,G,asparagus
Maltose,0.0,G,asparagus
Water,93.2,G,asparagus
Caffeine,0.0,MG,asparagus
Theobromine,0.0,MG,asparagus
Lutein + zeaxanthin,710,UG,asparagus
Niacin,0.978,MG,asparagus
Pantothenic acid,0.274,MG,asparagus
Vitamin B-6,0.091,MG,asparagus
Protein,1.9,G,avocado
Total lipid (fat),43.3,G,avocado
"Carbohydrate, by difference",7.36,G,avocado
Energy,427,KCAL,avocado
"Alcohol, ethyl",0.0,G,avocado
Water,45.0,G,avocado
Caffeine,0.0,MG,avocado
Theobromine,0.0,MG,avocado
"Sugars, total including NLEA",6.67,G,avocado
"Fiber, total dietary",0.1,G,avocado
"Calcium, Ca",34.0,MG,avocado
"Iron, Fe",0.35,MG,avocado
"Magnesium, Mg",7.0,MG,avocado
"Phosphorus, P",31.0,MG,avocado
"Potassium, K",58.0,MG,avocado
"Sodium, Na",867,MG,avocado
"Zinc, Zn",0.25,MG,avocado
"Copper, Cu",0.01,MG,avocado
"Selenium, Se",1.6,UG,avocado
Retinol,10.0,UG,avocado
"Vitamin A, RAE",10.0,UG,avocado
"Carotene, beta",3.0,UG,avocado
"Carotene, alpha",1.0,UG,avocado
Vitamin E (alpha-tocopherol),4.6,MG,avocado
Vitamin D (D2 + D3),0.0,UG,avocado
"Cryptoxanthin, beta",1.0,UG,avocado
Lycopene,0.0,UG,avocado
Lutein + zeaxanthin,39.0,UG,avocado
"Vitamin C, total ascorbic acid",0.2,MG,avocado
Thiamin,0.02,MG,avocado
Riboflavin,0.05,MG,avocado
Niacin,0.14,MG,avocado
Vitamin B-6,0.01,MG,avocado
"Folate, total",4.0,UG,avocado
Vitamin B-12,0.26,UG,avocado
"Choline, total",3.6,MG,avocado
Vitamin K (phylloquinone),96.7,UG,avocado
Folic acid,0.0,UG,avocado
"Folate, food",4.0,UG,avocado
"Folate, DFE",4.0,UG,avocado
"Vitamin E, added",0.0,MG,avocado
"Vitamin B-12, added",0.0,UG,avocado
Cholesterol,40.0,MG,avocado
"Fatty acids, total saturated",5.98,G,avocado
SFA 4:0,0.016,G,avocado
SFA 6:0,0.009,G,avocado
SFA 8:0,0.006,G,avocado
SFA 10:0,0.012,G,avocado
SFA 12:0,0.013,G,avocado
SFA 14:0,0.089,G,avocado
SFA 16:0,4.25,G,avocado
SFA 18:0,1.58,G,avocado
MUFA 18:1,9.25,G,avocado
PUFA 18:2,20.4,G,avocado
PUFA 18:3,2.73,G,avocado
PUFA 20:4,0.0,G,avocado
PUFA 22:6 n-3 (DHA),0.0,G,avocado
MUFA 16:1,0.091,G,avocado
PUFA 18:4,0.0,G,avocado
MUFA 20:1,0.08,G,avocado
PUFA 20:5 n-3 (EPA),0.0,G,avocado
MUFA 22:1,0.0,G,avocado
PUFA 22:5 n-3 (DPA),0.0,G,avocado
"Fatty acids, total monounsaturated",9.42,G,avocado
"Fatty acids, total polyunsaturated",23.2,G,avocado
Protein,32.0,G,bacon
Total lipid (fat),25.9,G,bacon
"Carbohydrate, by difference",28.6,G,bacon
Energy,476,KCAL,bacon
"Alcohol, ethyl",0.0,G,bacon
Water,8.0,G,bacon
Caffeine,0.0,MG,bacon
Theobromine,0.0,MG,bacon
"Sugars, total including NLEA",0.0,G,bacon
"Fiber, total dietary",10.2,G,bacon
"Calcium, Ca",101,MG,bacon
"Iron, Fe",0.72,MG,bacon
"Magnesium, Mg",95.0,MG,bacon
"Phosphorus, P",217,MG,bacon
"Potassium, K",145,MG,bacon
"Sodium, Na",1770.0,MG,bacon
"Zinc, Zn",1.87,MG,bacon
"Copper, Cu",0.539,MG,bacon
"Selenium, Se",7.4,UG,bacon
Retinol,0.0,UG,bacon
"Vitamin A, RAE",0.0,UG,bacon
"Carotene, beta",0.0,UG,bacon
"Carotene, alpha",0.0,UG,bacon
Vitamin E (alpha-tocopherol),6.9,MG,bacon
Vitamin D (D2 + D3),0.0,UG,bacon
"Cryptoxanthin, beta",0.0,UG,bacon
Lycopene,0.0,UG,bacon
Lutein + zeaxanthin,0.0,UG,bacon
"Vitamin C, total ascorbic acid",1.9,MG,bacon
Thiamin,0.6,MG,bacon
Riboflavin,0.07,MG,bacon
Niacin,1.6,MG,bacon
Vitamin B-6,0.08,MG,bacon
"Folate, total",127,UG,bacon
Vitamin B-12,1.2,UG,bacon
"Choline, total",135,MG,bacon
Vitamin K (phylloquinone),0.0,UG,bacon
Folic acid,0.0,UG,bacon
"Folate, food",127,UG,bacon
"Folate, DFE",127,UG,bacon
"Vitamin E, added",0.0,MG,bacon
"Vitamin B-12, added",1.2,UG,bacon
Cholesterol,0.0,MG,bacon
"Fatty acids, total saturated",4.06,G,bacon
SFA 4:0,0.0,G,bacon
SFA 6:0,0.0,G,bacon
SFA 8:0,0.0,G,bacon
SFA 10:0,0.0,G,bacon
SFA 12:0,0.215,G,bacon
SFA 14:0,0.143,G,bacon
SFA 16:0,2.67,G,bacon
SFA 18:0,1.03,G,bacon
MUFA 18:1,6.22,G,bacon
PUFA 18:2,12.1,G,bacon
PUFA 18:3,1.48,G,bacon
PUFA 20:4,0.0,G,bacon
PUFA 22:6 n-3 (DHA),0.0,G,bacon
MUFA 16:1,0.0,G,bacon
PUFA 18:4,0.0,G,bacon
MUFA 20:1,0.0,G,bacon
PUFA 20:5 n-3 (EPA),0.0,G,bacon
MUFA 22:1,0.0,G,bacon
PUFA 22:5 n-3 (DPA),0.0,G,bacon
"Fatty acids, total monounsaturated",6.22,G,bacon
"Fatty acids, total polyunsaturated",13.5,G,bacon
Folic acid,0.0,UG,banana
PUFA 20:4,0.0,G,banana
PUFA 18:4,0.0,G,banana
MUFA 20:1,0.0,G,banana
MUFA 22:1,0.0,G,banana
SFA 6:0,0.0,G,banana
SFA 10:0,0.0,G,banana
SFA 8:0,0.0,G,banana
SFA 12:0,0.0,G,banana
PUFA 20:5 n-3 (EPA),0.0,G,banana
PUFA 22:5 n-3 (DPA),0.0,G,banana
PUFA 22:6 n-3 (DHA),0.0,G,banana
Vitamin D (D2 + D3),0.0,UG,banana
"Vitamin D (D2 + D3), International Units",0.0,IU,banana
Vitamin K (phylloquinone),0.0,UG,banana
"Folate, food",1.0,UG,banana
"Cryptoxanthin, beta",0.0,UG,banana
Lycopene,0.0,UG,banana
Retinol,0.0,UG,banana
"Vitamin A, RAE",0.0,UG,banana
"Carotene, beta",4.0,UG,banana
"Carotene, alpha",3.0,UG,banana
Lutein + zeaxanthin,16.0,UG,banana
Vitamin E (alpha-tocopherol),0.02,MG,banana
Caffeine,0.0,MG,banana
Theobromine,0.0,MG,banana
"Sugars, Total",11.0,G,banana
"Folate, DFE",1.0,UG,banana
"Choline, total",2.3,MG,banana
Energy,213,kJ,banana
Total lipid (fat),0.1,G,banana
"Carbohydrate, by difference",12.3,G,banana
"Calcium, Ca",7.0,MG,banana
"Potassium, K",123,MG,banana
"Zinc, Zn",0.04,MG,banana
Water,87.1,G,banana
Vitamin B-6,0.06,MG,banana
Niacin,0.14,MG,banana
Protein,0.2,G,banana
"Phosphorus, P",8.0,MG,banana
"Folate, total",1.0,UG,banana
Vitamin B-12,0.0,UG,banana
"Alcohol, ethyl",0.0,G,banana
Thiamin,0.01,MG,banana
Cholesterol,0.0,MG,banana
MUFA 16:1,0.0,G,banana
Riboflavin,0.01,MG,banana
"Fatty acids, total saturated",0.018,G,banana
SFA 14:0,0.001,G,banana
"Sodium, Na",4.0,MG,banana
"Copper, Cu",0.02,MG,banana
"Manganese, Mn",0.08,MG,banana
"Vitamin A, IU",9.0,IU,banana
"Fiber, total dietary",0.2,G,banana
"Iron, Fe",0.2,MG,banana
"Magnesium, Mg",6.0,MG,banana
"Vitamin C, total ascorbic acid",27.9,MG,banana
Ash,0.26,G,banana
Pantothenic acid,0.125,MG,banana
SFA 16:0,0.015,G,banana
SFA 18:0,0.002,G,banana
MUFA 18:1,0.004,G,banana
PUFA 18:2,0.028,G,banana
PUFA 18:3,0.006,G,banana
"Fatty acids, total monounsaturated",0.004,G,banana
"Fatty acids, total polyunsaturated",0.034,G,banana
SFA 4:0,0.0,G,banana
"Vitamin E, added",0.0,MG,banana
"Vitamin B-12, added",0.0,UG,banana
"Selenium, Se",0.3,UG,banana
"Iron, Fe",3.17,MG,basil
"Vitamin C, total ascorbic acid",18.0,MG,basil
Vitamin B-12,0.0,UG,basil
Tryptophan,0.039,G,basil
Threonine,0.104,G,basil
Methionine,0.036,G,basil
Phenylalanine,0.13,G,basil
Tyrosine,0.077,G,basil
Alanine,0.132,G,basil
Glutamic acid,0.277,G,basil
Glycine,0.122,G,basil
Proline,0.104,G,basil
"Fatty acids, total saturated",0.041,G,basil
Cholesterol,0.0,MG,basil
Isoleucine,0.104,G,basil
Leucine,0.191,G,basil
Lysine,0.11,G,basil
Cystine,0.028,G,basil
Valine,0.127,G,basil
Arginine,0.117,G,basil
Histidine,0.051,G,basil
Aspartic acid,0.301,G,basil
Serine,0.099,G,basil
SFA 16:0,0.036,G,basil
SFA 18:0,0.005,G,basil
MUFA 18:1,0.088,G,basil
PUFA 18:2,0.073,G,basil
PUFA 18:3,0.316,G,basil
"Fatty acids, total monounsaturated",0.088,G,basil
"Fatty acids, total polyunsaturated",0.389,G,basil
Folic acid,0.0,UG,basil
"Vitamin A, IU",5280.0,IU,basil
"Vitamin A, RAE",264,UG,basil
"Carotene, beta",3140.0,UG,basil
"Cryptoxanthin, beta",46.0,UG,basil
Vitamin K (Dihydrophylloquinone),0.0,UG,basil
Vitamin K (phylloquinone),415,UG,basil
"Sugars, Total",0.3,G,basil
Lutein + zeaxanthin,5650.0,UG,basil
"Vitamin D (D2 + D3), International Units",0.0,IU,basil
"Folate, DFE",68.0,UG,basil
Retinol,0.0,UG,basil
"Fatty acids, total trans",0.0,G,basil
"Alcohol, ethyl",0.0,G,basil
SFA 8:0,0.0,G,basil
SFA 12:0,0.0,G,basil
SFA 14:0,0.0,G,basil
PUFA 22:6 n-3 (DHA),0.0,G,basil
MUFA 16:1,0.0,G,basil
PUFA 20:5 n-3 (EPA),0.0,G,basil
PUFA 22:5 n-3 (DPA),0.0,G,basil
PUFA 20:4,0.0,G,basil
PUFA 18:4,0.0,G,basil
MUFA 20:1,0.0,G,basil
MUFA 22:1,0.0,G,basil
SFA 4:0,0.0,G,basil
SFA 6:0,0.0,G,basil
SFA 10:0,0.0,G,basil
Vitamin D (D2 + D3),0.0,UG,basil
Total lipid (fat),0.64,G,basil
"Carbohydrate, by difference",2.65,G,basil
Energy,94.0,kJ,basil
Sucrose,0.0,G,basil
Glucose,0.02,G,basil
Maltose,0.0,G,basil
Water,92.1,G,basil
Caffeine,0.0,MG,basil
Theobromine,0.0,MG,basil
"Vitamin E, added",0.0,MG,basil
Betaine,0.4,MG,basil
"Calcium, Ca",177,MG,basil
"Potassium, K",295,MG,basil
"Zinc, Zn",0.81,MG,basil
"Selenium, Se",0.3,UG,basil
Vitamin E (alpha-tocopherol),0.8,MG,basil
"Tocopherol, beta",0.0,MG,basil
"Tocopherol, gamma",0.16,MG,basil
"Tocotrienol, alpha",0.0,MG,basil
"Tocotrienol, beta",0.0,MG,basil
Niacin,0.902,MG,basil
Pantothenic acid,0.209,MG,basil
Vitamin B-6,0.155,MG,basil
"Choline, total",11.4,MG,basil
"Folate, food",68.0,UG,basil
Thiamin,0.034,MG,basil
Riboflavin,0.076,MG,basil
"Folate, total",68.0,UG,basil
"Vitamin B-12, added",0.0,UG,basil
Galactose,0.27,G,basil
"Fiber, total dietary",1.6,G,basil
"Magnesium, Mg",64.0,MG,basil
"Phosphorus, P",56.0,MG,basil
"Sodium, Na",4.0,MG,basil
"Copper, Cu",0.385,MG,basil
"Manganese, Mn",1.15,MG,basil
"Carotene, alpha",0.0,UG,basil
Lycopene,0.0,UG,basil
"Tocopherol, delta",0.0,MG,basil
"Tocotrienol, gamma",0.0,MG,basil
"Tocotrienol, delta",0.0,MG,basil
Protein,3.15,G,basil
Ash,1.49,G,basil
Fructose,0.02,G,basil
Lactose,0.0,G,basil
Protein,1.34,G,bean
Total lipid (fat),2.15,G,bean
"Carbohydrate, by difference",29.6,G,bean
Energy,134,KCAL,bean
"Alcohol, ethyl",0.0,G,bean
Water,66.3,G,bean
Caffeine,0.0,MG,bean
Theobromine,0.0,MG,bean
"Sugars, total including NLEA",24.2,G,bean
"Fiber, total dietary",1.8,G,bean
"Calcium, Ca",39.0,MG,bean
"Iron, Fe",0.12,MG,bean
"Magnesium, Mg",8.0,MG,bean
"Phosphorus, P",37.0,MG,bean
"Potassium, K",134,MG,bean
"Sodium, Na",62.0,MG,bean
"Zinc, Zn",0.14,MG,bean
"Copper, Cu",0.025,MG,bean
"Selenium, Se",0.4,UG,bean
Retinol,3.0,UG,bean
"Vitamin A, RAE",5.0,UG,bean
"Carotene, beta",21.0,UG,bean
"Carotene, alpha",0.0,UG,bean
Vitamin E (alpha-tocopherol),0.25,MG,bean
Vitamin D (D2 + D3),0.0,UG,bean
"Cryptoxanthin, beta",8.0,UG,bean
Lycopene,0.0,UG,bean
Lutein + zeaxanthin,22.0,UG,bean
"Vitamin C, total ascorbic acid",3.6,MG,bean
Thiamin,0.038,MG,bean
Riboflavin,0.084,MG,bean
Niacin,0.105,MG,bean
Vitamin B-6,0.045,MG,bean
"Folate, total",3.0,UG,bean
Vitamin B-12,0.08,UG,bean
"Choline, total",4.6,MG,bean
Vitamin K (phylloquinone),2.1,UG,bean
Folic acid,0.0,UG,bean
"Folate, food",3.0,UG,bean
"Folate, DFE",3.0,UG,bean
"Vitamin E, added",0.0,MG,bean
"Vitamin B-12, added",0.0,UG,bean
Cholesterol,2.0,MG,bean
"Fatty acids, total saturated",0.64,G,bean
SFA 4:0,0.012,G,bean
SFA 6:0,0.003,G,bean
SFA 8:0,0.003,G,bean
SFA 10:0,0.006,G,bean
SFA 12:0,0.004,G,bean
SFA 14:0,0.048,G,bean
SFA 16:0,0.488,G,bean
SFA 18:0,0.076,G,bean
MUFA 18:1,0.367,G,bean
PUFA 18:2,0.894,G,bean
PUFA 18:3,0.013,G,bean
PUFA 20:4,0.002,G,bean
PUFA 22:6 n-3 (DHA),0.0,G,bean
MUFA 16:1,0.024,G,bean
PUFA 18:4,0.0,G,bean
MUFA 20:1,0.0,G,bean
PUFA 20:5 n-3 (EPA),0.0,G,bean
MUFA 22:1,0.0,G,bean
PUFA 22:5 n-3 (DPA),0.0,G,bean
"Fatty acids, total monounsaturated",0.391,G,bean
"Fatty acids, total polyunsaturated",0.908,G,bean
Protein,1.34,G,beef
Total lipid (fat),2.15,G,beef
"Carbohydrate, by difference",29.6,G,beef
Energy,134,KCAL,beef
"Alcohol, ethyl",0.0,G,beef
Water,66.3,G,beef
Caffeine,0.0,MG,beef
Theobromine,0.0,MG,beef
"Sugars, total including NLEA",24.2,G,beef
"Fiber, total dietary",1.8,G,beef
"Calcium, Ca",39.0,MG,beef
"Iron, Fe",0.12,MG,beef
"Magnesium, Mg",8.0,MG,beef
"Phosphorus, P",37.0,MG,beef
"Potassium, K",134,MG,beef
"Sodium, Na",62.0,MG,beef
"Zinc, Zn",0.14,MG,beef
"Copper, Cu",0.025,MG,beef
"Selenium, Se",0.4,UG,beef
Retinol,3.0,UG,beef
"Vitamin A, RAE",5.0,UG,beef
"Carotene, beta",21.0,UG,beef
"Carotene, alpha",0.0,UG,beef
Vitamin E (alpha-tocopherol),0.25,MG,beef
Vitamin D (D2 + D3),0.0,UG,beef
"Cryptoxanthin, beta",8.0,UG,beef
Lycopene,0.0,UG,beef
Lutein + zeaxanthin,22.0,UG,beef
"Vitamin C, total ascorbic acid",3.6,MG,beef
Thiamin,0.038,MG,beef
Riboflavin,0.084,MG,beef
Niacin,0.105,MG,beef
Vitamin B-6,0.045,MG,beef
"Folate, total",3.0,UG,beef
Vitamin B-12,0.08,UG,beef
"Choline, total",4.6,MG,beef
Vitamin K (phylloquinone),2.1,UG,beef
Folic acid,0.0,UG,beef
"Folate, food",3.0,UG,beef
"Folate, DFE",3.0,UG,beef
"Vitamin E, added",0.0,MG,beef
"Vitamin B-12, added",0.0,UG,beef
Cholesterol,2.0,MG,beef
"Fatty acids, total saturated",0.64,G,beef
SFA 4:0,0.012,G,beef
SFA 6:0,0.003,G,beef
SFA 8:0,0.003,G,beef
SFA 10:0,0.006,G,beef
SFA 12:0,0.004,G,beef
SFA 14:0,0.048,G,beef
SFA 16:0,0.488,G,beef
SFA 18:0,0.076,G,beef
MUFA 18:1,0.367,G,beef
PUFA 18:2,0.894,G,beef
PUFA 18:3,0.013,G,beef
PUFA 20:4,0.002,G,beef
PUFA 22:6 n-3 (DHA),0.0,G,beef
MUFA 16:1,0.024,G,beef
PUFA 18:4,0.0,G,beef
MUFA 20:1,0.0,G,beef
PUFA 20:5 n-3 (EPA),0.0,G,beef
MUFA 22:1,0.0,G,beef
PUFA 22:5 n-3 (DPA),0.0,G,beef
"Fatty acids, total monounsaturated",0.391,G,beef
"Fatty acids, total polyunsaturated",0.908,G,beef
Protein,21.3,G,beef rib
Ash,0.94,G,beef rib
"Alcohol, ethyl",0.0,G,beef rib
Energy,146,KCAL,beef rib
"Fiber, total dietary",0.0,G,beef rib
"Iron, Fe",1.82,MG,beef rib
"Magnesium, Mg",20.0,MG,beef rib
"Phosphorus, P",184,MG,beef rib
"Sodium, Na",54.0,MG,beef rib
"Copper, Cu",0.047,MG,beef rib
"Manganese, Mn",0.006,MG,beef rib
"Vitamin A, IU",26.0,IU,beef rib
Retinol,8.0,UG,beef rib
"Vitamin A, RAE",8.0,UG,beef rib
"Carotene, beta",0.0,UG,beef rib
"Carotene, alpha",0.0,UG,beef rib
Vitamin D3 (cholecalciferol),0.2,UG,beef rib
Vitamin D (D2 + D3),0.2,UG,beef rib
"Cryptoxanthin, beta",0.0,UG,beef rib
Lycopene,0.0,UG,beef rib
"Vitamin C, total ascorbic acid",0.0,MG,beef rib
Thiamin,0.03,MG,beef rib
Riboflavin,0.09,MG,beef rib
Vitamin B-12,1.17,UG,beef rib
Tryptophan,0.223,G,beef rib
Threonine,0.772,G,beef rib
Methionine,0.701,G,beef rib
Phenylalanine,0.828,G,beef rib
Tyrosine,0.717,G,beef rib
Alanine,1.11,G,beef rib
Glutamic acid,2.97,G,beef rib
Glycine,1.16,G,beef rib
Proline,0.684,G,beef rib
"Vitamin B-12, added",0.0,UG,beef rib
Cholesterol,57.0,MG,beef rib
"Fatty acids, total trans",0.123,G,beef rib
"Fatty acids, total saturated",2.45,G,beef rib
SFA 8:0,0.0,G,beef rib
SFA 12:0,0.003,G,beef rib
SFA 14:0,0.133,G,beef rib
PUFA 22:6 n-3 (DHA),0.002,G,beef rib
SFA 22:0,0.002,G,beef rib
MUFA 14:1,0.029,G,beef rib
MUFA 16:1,0.185,G,beef rib
PUFA 20:5 n-3 (EPA),0.01,G,beef rib
PUFA 22:5 n-3 (DPA),0.016,G,beef rib
SFA 17:0,0.088,G,beef rib
SFA 24:0,0.001,G,beef rib
TFA 16:1 t,0.027,G,beef rib
MUFA 24:1 c,0.003,G,beef rib
MUFA 18:1 c,1.96,G,beef rib
"PUFA 18:2 n-6 c,c",0.061,G,beef rib
MUFA 22:1 c,0.0,G,beef rib
MUFA 17:1,0.0,G,beef rib
"Fatty acids, total trans-monoenoic",0.123,G,beef rib
MUFA 15:1,0.002,G,beef rib
"PUFA 18:3 n-3 c,c,c (ALA)",0.039,G,beef rib
PUFA 20:3 n-3,0.001,G,beef rib
"PUFA 18:3 n-6 c,c,c",0.002,G,beef rib
PUFA 20:3,0.009,G,beef rib
"Fatty acids, total trans-polyenoic",0.0,G,beef rib
PUFA 20:4 n-6,0.007,G,beef rib
PUFA 2:4 n-6,0.018,G,beef rib
Total lipid (fat),6.78,G,beef rib
"Carbohydrate, by difference",0.0,G,beef rib
Water,71.3,G,beef rib
Caffeine,0.0,MG,beef rib
Theobromine,0.0,MG,beef rib
"Sugars, Total",0.0,G,beef rib
"Calcium, Ca",15.0,MG,beef rib
"Potassium, K",337,MG,beef rib
"Zinc, Zn",3.95,MG,beef rib
"Selenium, Se",2.9,UG,beef rib
Vitamin E (alpha-tocopherol),0.74,MG,beef rib
"Vitamin D (D2 + D3), International Units",7.0,IU,beef rib
Lutein + zeaxanthin,0.0,UG,beef rib
Niacin,4.31,MG,beef rib
Pantothenic acid,0.293,MG,beef rib
Vitamin B-6,0.255,MG,beef rib
Isoleucine,0.886,G,beef rib
Leucine,1.61,G,beef rib
Lysine,1.69,G,beef rib
Valine,0.941,G,beef rib
Arginine,1.4,G,beef rib
Histidine,0.768,G,beef rib
Serine,0.749,G,beef rib
"Vitamin E, added",0.0,MG,beef rib
SFA 4:0,0.0,G,beef rib
SFA 6:0,0.0,G,beef rib
SFA 10:0,0.004,G,beef rib
SFA 16:0,1.33,G,beef rib
SFA 18:0,0.886,G,beef rib
SFA 20:0,0.007,G,beef rib
MUFA 18:1,2.05,G,beef rib
PUFA 18:2,0.087,G,beef rib
PUFA 18:3,0.041,G,beef rib
PUFA 20:4,0.018,G,beef rib
PUFA 18:4,0.0,G,beef rib
MUFA 20:1,0.007,G,beef rib
MUFA 22:1,0.0,G,beef rib
"Fatty acids, total monounsaturated",2.28,G,beef rib
"Fatty acids, total polyunsaturated",0.191,G,beef rib
TFA 18:1 t,0.096,G,beef rib
"TFA 18:2 t,t",0.0,G,beef rib
PUFA 18:2 CLAs,0.026,G,beef rib
"PUFA 20:2 n-6 c,c",0.002,G,beef rib
MUFA 16:1 c,0.158,G,beef rib
Folic acid,0.0,UG,beef shank
"Selenium, Se",17.7,UG,beef shank
Protein,21.8,G,beef shank
Ash,1.44,G,beef shank
"Fiber, total dietary",0.0,G,beef shank
"Iron, Fe",2.32,MG,beef shank
"Magnesium, Mg",14.0,MG,beef shank
"Phosphorus, P",204,MG,beef shank
"Sodium, Na",63.0,MG,beef shank
"Copper, Cu",0.071,MG,beef shank
"Manganese, Mn",0.014,MG,beef shank
"Vitamin A, IU",0.0,IU,beef shank
"Vitamin C, total ascorbic acid",0.0,MG,beef shank
Thiamin,0.1,MG,beef shank
Riboflavin,0.22,MG,beef shank
"Folate, total",8.0,UG,beef shank
Vitamin B-12,3.33,UG,beef shank
"Folate, food",8.0,UG,beef shank
Tryptophan,0.244,G,beef shank
Threonine,0.95,G,beef shank
Methionine,0.557,G,beef shank
Phenylalanine,0.849,G,beef shank
Tyrosine,0.731,G,beef shank
Alanine,1.31,G,beef shank
Glutamic acid,3.27,G,beef shank
Glycine,1.19,G,beef shank
Proline,0.96,G,beef shank
Cholesterol,39.0,MG,beef shank
"Fatty acids, total saturated",1.28,G,beef shank
SFA 8:0,0.0,G,beef shank
SFA 12:0,0.0,G,beef shank
SFA 14:0,0.09,G,beef shank
PUFA 22:6 n-3 (DHA),0.0,G,beef shank
MUFA 16:1,0.16,G,beef shank
PUFA 20:5 n-3 (EPA),0.0,G,beef shank
PUFA 22:5 n-3 (DPA),0.0,G,beef shank
Total lipid (fat),3.85,G,beef shank
"Carbohydrate, by difference",0.0,G,beef shank
Energy,536,kJ,beef shank
Water,73.0,G,beef shank
"Calcium, Ca",20.0,MG,beef shank
"Potassium, K",387,MG,beef shank
"Zinc, Zn",6.94,MG,beef shank
Niacin,5.74,MG,beef shank
Pantothenic acid,0.35,MG,beef shank
Vitamin B-6,0.47,MG,beef shank
Isoleucine,0.978,G,beef shank
Leucine,1.72,G,beef shank
Lysine,1.81,G,beef shank
Cystine,0.244,G,beef shank
Valine,1.06,G,beef shank
Arginine,1.38,G,beef shank
Histidine,0.745,G,beef shank
Aspartic acid,1.99,G,beef shank
Serine,0.832,G,beef shank
SFA 4:0,0.0,G,beef shank
SFA 6:0,0.0,G,beef shank
SFA 10:0,0.0,G,beef shank
SFA 16:0,0.77,G,beef shank
SFA 18:0,0.37,G,beef shank
MUFA 18:1,1.52,G,beef shank
PUFA 18:2,0.11,G,beef shank
PUFA 18:3,0.01,G,beef shank
PUFA 20:4,0.03,G,beef shank
PUFA 18:4,0.0,G,beef shank
MUFA 20:1,0.0,G,beef shank
MUFA 22:1,0.0,G,beef shank
"Fatty acids, total monounsaturated",1.76,G,beef shank
"Fatty acids, total polyunsaturated",0.15,G,beef shank
Retinol,0.0,UG,beef shank
"Vitamin A, RAE",0.0,UG,beef shank
"Folate, DFE",8.0,UG,beef shank
Protein,30.5,G,beef tenderloin
Total lipid (fat),8.25,G,beef tenderloin
"Carbohydrate, by difference",0.0,G,beef tenderloin
Energy,196,KCAL,beef tenderloin
"Alcohol, ethyl",0.0,G,beef tenderloin
Water,60.3,G,beef tenderloin
Caffeine,0.0,MG,beef tenderloin
Theobromine,0.0,MG,beef tenderloin
"Sugars, total including NLEA",0.0,G,beef tenderloin
"Fiber, total dietary",0.0,G,beef tenderloin
"Calcium, Ca",15.0,MG,beef tenderloin
"Iron, Fe",3.56,MG,beef tenderloin
"Magnesium, Mg",20.0,MG,beef tenderloin
"Phosphorus, P",283,MG,beef tenderloin
"Potassium, K",387,MG,beef tenderloin
"Sodium, Na",366,MG,beef tenderloin
"Zinc, Zn",4.64,MG,beef tenderloin
"Copper, Cu",0.101,MG,beef tenderloin
"Selenium, Se",27.8,UG,beef tenderloin
Retinol,2.0,UG,beef tenderloin
"Vitamin A, RAE",2.0,UG,beef tenderloin
"Carotene, beta",0.0,UG,beef tenderloin
"Carotene, alpha",0.0,UG,beef tenderloin
Vitamin E (alpha-tocopherol),0.28,MG,beef tenderloin
Vitamin D (D2 + D3),0.1,UG,beef tenderloin
"Cryptoxanthin, beta",0.0,UG,beef tenderloin
Lycopene,0.0,UG,beef tenderloin
Lutein + zeaxanthin,0.0,UG,beef tenderloin
"Vitamin C, total ascorbic acid",0.0,MG,beef tenderloin
Thiamin,0.07,MG,beef tenderloin
